258 91 91
15 35 -1 1
16 35 -1 1
17 35 -1 1
18 35 -1 1
19 35 -1 1
14 36 -1 1
20 36 -1 1
21 36 -1 1
27 36 -1 1
28 36 -1 1
29 36 -1 1
30 36 -1 1
31 36 -1 1
13 37 -1 1
14 37 -1 1
21 37 -1 1
26 37 -1 1
27 37 -1 1
31 37 -1 1
32 37 -1 1
33 37 -1 1
41 37 -1 1
13 38 -1 1
26 38 -1 1
33 38 -1 1
34 38 -1 1
41 38 -1 1
13 39 -1 1
26 39 -1 1
34 39 -1 1
41 39 -1 1
42 39 -1 1
13 40 -1 1
26 40 -1 1
34 40 -1 1
41 40 -1 1
42 40 -1 1
13 41 -1 1
26 41 -1 1
34 41 -1 1
40 41 -1 1
41 41 -1 1
42 41 -1 1
43 41 -1 1
57 41 -1 1
58 41 -1 1
59 41 -1 1
60 41 -1 1
13 42 -1 1
26 42 -1 1
27 42 -1 1
28 42 -1 1
29 42 -1 1
34 42 -1 1
40 42 -1 1
43 42 -1 1
56 42 -1 1
57 42 -1 1
60 42 -1 1
61 42 -1 1
13 43 -1 1
26 43 -1 1
28 43 -1 1
29 43 -1 1
30 43 -1 1
31 43 -1 1
32 43 -1 1
33 43 -1 1
34 43 -1 1
40 43 -1 1
43 43 -1 1
61 43 -1 1
69 43 -1 1
79 43 -1 1
80 43 -1 1
81 43 -1 1
13 44 -1 1
22 44 -1 1
26 44 -1 1
34 44 -1 1
40 44 -1 1
43 44 -1 1
61 44 -1 1
69 44 -1 1
78 44 -1 1
79 44 -1 1
81 44 -1 1
82 44 -1 1
13 45 -1 1
21 45 -1 1
22 45 -1 1
26 45 -1 1
34 45 -1 1
35 45 -1 1
39 45 -1 1
40 45 -1 1
43 45 -1 1
44 45 -1 1
61 45 -1 1
62 45 -1 1
69 45 -1 1
77 45 -1 1
78 45 -1 1
82 45 -1 1
83 45 -1 1
88 45 -1 1
89 45 -1 1
14 46 -1 1
15 46 -1 1
16 46 -1 1
17 46 -1 1
18 46 -1 1
19 46 -1 1
20 46 -1 1
21 46 -1 1
26 46 -1 1
35 46 -1 1
39 46 -1 1
44 46 -1 1
62 46 -1 1
68 46 -1 1
69 46 -1 1
77 46 -1 1
83 46 -1 1
84 46 -1 1
89 46 -1 1
19 47 -1 1
20 47 -1 1
26 47 -1 1
35 47 -1 1
39 47 -1 1
44 47 -1 1
62 47 -1 1
68 47 -1 1
77 47 -1 1
83 47 -1 1
84 47 -1 1
89 47 -1 1
26 48 -1 1
34 48 -1 1
35 48 -1 1
38 48 -1 1
39 48 -1 1
40 48 -1 1
41 48 -1 1
42 48 -1 1
43 48 -1 1
44 48 -1 1
45 48 -1 1
61 48 -1 1
62 48 -1 1
68 48 -1 1
77 48 -1 1
83 48 -1 1
84 48 -1 1
88 48 -1 1
89 48 -1 1
25 49 -1 1
26 49 -1 1
27 49 -1 1
28 49 -1 1
29 49 -1 1
30 49 -1 1
34 49 -1 1
38 49 -1 1
43 49 -1 1
44 49 -1 1
45 49 -1 1
61 49 -1 1
68 49 -1 1
70 49 -1 1
71 49 -1 1
72 49 -1 1
77 49 -1 1
83 49 -1 1
84 49 -1 1
88 49 -1 1
30 50 -1 1
31 50 -1 1
32 50 -1 1
33 50 -1 1
34 50 -1 1
38 50 -1 1
45 50 -1 1
61 50 -1 1
68 50 -1 1
69 50 -1 1
72 50 -1 1
77 50 -1 1
78 50 -1 1
83 50 -1 1
84 50 -1 1
88 50 -1 1
46 51 -1 1
60 51 -1 1
68 51 -1 1
72 51 -1 1
78 51 -1 1
79 51 -1 1
82 51 -1 1
84 51 -1 1
88 51 -1 1
46 52 -1 1
58 52 -1 1
59 52 -1 1
67 52 -1 1
68 52 -1 1
71 52 -1 1
72 52 -1 1
79 52 -1 1
80 52 -1 1
81 52 -1 1
84 52 -1 1
88 52 -1 1
46 53 -1 1
47 53 -1 1
58 53 -1 1
59 53 -1 1
60 53 -1 1
61 53 -1 1
62 53 -1 1
63 53 -1 1
64 53 -1 1
67 53 -1 1
71 53 -1 1
83 53 -1 1
84 53 -1 1
88 53 -1 1
47 54 -1 1
67 54 -1 1
71 54 -1 1
83 54 -1 1
88 54 -1 1
89 54 -1 1
67 55 -1 1
71 55 -1 1
82 55 -1 1
83 55 -1 1
89 55 -1 1
67 56 -1 1
68 56 -1 1
71 56 -1 1
81 56 -1 1
82 56 -1 1
89 56 -1 1
68 57 -1 1
69 57 -1 1
70 57 -1 1
71 57 -1 1
80 57 -1 1
81 57 -1 1
89 57 -1 1
79 58 -1 1
80 58 -1 1
89 58 -1 1
89 59 -1 1
89 60 -1 1
89 61 -1 1
